time,new_disputes,new_complaints,new_complainants,new_domestic,new_customer,new_additional_channel,unresolved,pending,unsubmitted,closed_unresolved,pending_domestic,pending_domestic_institution,pending_domestic_implementation,new_domestic_supported,new_domestic_implemented,pending_customer,new_resolved,cumulative_resolved,cumulative_complainants,total_cases,visible_domestic,visible_customer
0,14,14,14,14,0,0,14,14,0,0,14,14,0,0,0,0,0,0,14,14,0,0
1,0,0,0,0,0,0,14,14,0,0,14,14,0,0,0,0,0,0,14,14,14,0
2,0,0,0,0,0,0,14,4,0,10,4,2,2,2,0,0,0,0,14,14,14,0
3,0,0,0,0,0,0,13,2,0,11,2,0,2,2,1,0,1,1,14,14,14,0
4,0,0,0,0,0,0,11,0,0,11,0,0,0,0,2,0,2,3,14,14,2,0
5,0,0,0,0,0,0,11,0,0,11,0,0,0,0,0,0,0,3,14,14,0,0
6,0,0,0,0,0,0,11,0,0,11,0,0,0,0,0,0,0,3,14,14,0,0
7,0,0,0,0,0,0,11,0,0,11,0,0,0,0,0,0,0,3,14,14,0,0
8,0,0,0,0,0,0,11,0,0,11,0,0,0,0,0,0,0,3,14,14,0,0
9,0,0,0,0,0,0,11,0,0,11,0,0,0,0,0,0,0,3,14,14,0,0
10,0,0,0,0,0,0,11,0,0,11,0,0,0,0,0,0,0,3,14,14,0,0
11,0,0,0,0,0,0,11,0,0,11,0,0,0,0,0,0,0,3,14,14,0,0
12,0,0,0,0,0,0,11,0,0,11,0,0,0,0,0,0,0,3,14,14,0,0
13,0,0,0,0,0,0,11,0,0,11,0,0,0,0,0,0,0,3,14,14,0,0
14,0,0,0,0,0,0,11,0,0,11,0,0,0,0,0,0,0,3,14,14,0,0
